,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,timezone,visibility,weather,wind
13,stations,{'all': 90},200,"{'lon': -159.32, 'lat': 22.08}",1572928866,5848280,"{'temp': 297.69, 'pressure': 1013, 'humidity': 88, 'temp_min': 297.15, 'temp_max': 298.15}",Kapaa,,,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1572885767, 'sunset': 1572926332}",-36000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.5, 'deg': 300}"
14,stations,{'all': 100},200,"{'lon': 20.04, 'lat': -34.53}",1572928867,1015776,"{'temp': 288.73, 'pressure': 1011, 'humidity': 87, 'temp_min': 286.15, 'temp_max': 289.26}",Bredasdorp,,,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1572924895, 'sunset': 1572973913}",7200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 2.1, 'deg': 30}"
15,stations,{'all': 33},200,"{'lon': -90.35, 'lat': -0.74}",1572928867,3652764,"{'temp': 293.71, 'pressure': 1012, 'humidity': 90, 'temp_min': 293.71, 'temp_max': 293.71}",Puerto Ayora,{},,"{'type': 3, 'id': 2005652, 'country': 'EC', 'sunrise': 1572867641, 'sunset': 1572911352}",-21600,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.68, 'deg': 142, 'gust': 4.47}"
16,model,{'all': 99},200,"{'lon': 113.59, 'lat': 54.44}",1572928868,2027244,"{'temp': 262.04, 'pressure': 1027, 'humidity': 57, 'temp_min': 262.04, 'temp_max': 262.04, 'sea_level': 1027, 'grnd_level': 881}",Bagdarin,,,"{'country': 'RU', 'sunrise': 1572910443, 'sunset': 1572943460}",28800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 0.81, 'deg': 325}"
17,model,{'all': 0},200,"{'lon': 68.36, 'lat': 51.81}",1572928869,1526038,"{'temp': 268.48, 'pressure': 1030, 'humidity': 87, 'temp_min': 268.48, 'temp_max': 268.48, 'sea_level': 1030, 'grnd_level': 990}",Atbasar,,,"{'country': 'KZ', 'sunrise': 1572920816, 'sunset': 1572954798}",21600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 1.43, 'deg': 298}"
18,model,{'all': 0},200,"{'lon': 172.79, 'lat': 3.07}",1572928869,2110227,"{'temp': 302.14, 'pressure': 1005, 'humidity': 75, 'temp_min': 302.14, 'temp_max': 302.14, 'sea_level': 1005, 'grnd_level': 1005}",Butaritari,,,"{'country': 'KI', 'sunrise': 1572891140, 'sunset': 1572934346}",43200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 6.09, 'deg': 77}"
19,model,{'all': 0},200,"{'lon': -71.34, 'lat': -29.95}",1572928870,3893629,"{'temp': 287.33, 'pressure': 1014, 'humidity': 82, 'temp_min': 287.33, 'temp_max': 287.33, 'sea_level': 1014, 'grnd_level': 1011}",Coquimbo,,,"{'country': 'CL', 'sunrise': 1572947264, 'sunset': 1572995407}",-10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.71, 'deg': 196}"
20,model,{'all': 70},200,"{'lon': -6.55, 'lat': 41.42}",1572928871,2737599,"{'temp': 281.02, 'pressure': 1011, 'humidity': 86, 'temp_min': 281.02, 'temp_max': 281.02, 'sea_level': 1011, 'grnd_level': 935}",Saldanha,{'3h': 0.13},,"{'country': 'PT', 'sunrise': 1572937323, 'sunset': 1572974249}",0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 5.39, 'deg': 250}"
21,stations,{'all': 90},200,"{'lon': -85.62, 'lat': 44.76}",1572928621,5012495,"{'temp': 276.24, 'pressure': 1014, 'humidity': 80, 'temp_min': 273.71, 'temp_max': 278.15}",Traverse City,{},,"{'type': 1, 'id': 6082, 'country': 'US', 'sunrise': 1572870252, 'sunset': 1572906470}",-18000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.5, 'deg': 200}"
22,stations,{'all': 0},200,"{'lon': 21.96, 'lat': 36.8}",1572928872,259265,"{'temp': 288.51, 'pressure': 1014, 'humidity': 93, 'temp_min': 286.15, 'temp_max': 290.37}",Koroni,,,"{'type': 1, 'id': 6621, 'country': 'GR', 'sunrise': 1572929967, 'sunset': 1572967919}",7200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'speed': 1}
